Frame,Time,People_Count
0,22:23:16,8
5,22:23:17,7
10,22:23:18,7
15,22:23:20,10
20,22:23:21,6
25,22:23:22,6
30,22:23:24,6
35,22:23:25,6
40,22:23:27,8
45,22:23:28,7
50,22:23:30,6
55,22:23:31,9
60,22:23:33,10
65,22:23:34,8
70,22:23:36,7
75,22:23:37,7
80,22:23:38,9
85,22:23:40,7
90,22:23:41,7
95,22:23:43,7
100,22:23:44,6
105,22:23:45,7
110,22:23:47,7
115,22:23:48,7
120,22:23:49,7
125,22:23:50,8
130,22:23:51,8
135,22:23:52,8
140,22:23:54,7
145,22:23:55,8
150,22:23:56,7
155,22:23:57,8
160,22:23:59,9
165,22:24:00,8
170,22:24:01,9
175,22:24:02,8
180,22:24:04,8
185,22:24:05,8
190,22:24:06,8
195,22:24:07,8
200,22:24:09,8
205,22:24:10,8
210,22:24:11,8
215,22:24:12,8
220,22:24:14,8
225,22:24:15,8
230,22:24:16,8
235,22:24:18,8
240,22:24:19,7
245,22:24:20,8
250,22:24:21,8
255,22:24:23,8
260,22:24:24,8
265,22:24:25,8
270,22:24:27,5
275,22:24:28,7
280,22:24:29,7
285,22:24:30,8
290,22:24:32,8
295,22:24:33,8
300,22:24:34,8
305,22:24:35,8
310,22:24:37,8
315,22:24:38,8
320,22:24:39,8
325,22:24:41,8
330,22:24:42,8
335,22:24:43,8
340,22:24:44,8
345,22:24:46,8
350,22:24:47,9
355,22:24:48,8
360,22:24:49,7
365,22:24:51,8
370,22:24:52,7
375,22:24:53,6
380,22:24:54,7
385,22:24:56,8
390,22:24:57,8
395,22:24:58,9
400,22:24:59,8
405,22:25:01,7
410,22:25:02,7
415,22:25:03,6
420,22:25:04,6
425,22:25:06,6
430,22:25:07,6
435,22:25:08,6
440,22:25:09,6
445,22:25:11,8
450,22:25:12,7
455,22:25:13,7
460,22:25:14,7
465,22:25:16,7
470,22:25:17,7
475,22:25:18,5
480,22:25:19,7
485,22:25:21,7
490,22:25:22,8
495,22:25:23,8
500,22:25:24,8
505,22:25:24,7
510,22:25:25,8
515,22:25:27,9
520,22:25:28,8
525,22:25:29,7
530,22:25:30,8
535,22:25:32,7
540,22:25:33,9
545,22:25:34,10
550,22:25:35,8
555,22:25:37,7
560,22:25:38,7
565,22:25:39,8
570,22:25:40,7
575,22:25:42,6
580,22:25:43,5
585,22:25:44,6
590,22:25:45,5
595,22:25:47,6
600,22:25:48,5
605,22:25:49,6
610,22:25:50,5
615,22:25:52,5
620,22:25:53,7
625,22:25:54,6
630,22:25:55,6
635,22:25:57,5
640,22:25:58,7
645,22:25:59,6
650,22:26:00,7
655,22:26:02,6
660,22:26:03,7
665,22:26:04,6
670,22:26:05,7
675,22:26:07,6
680,22:26:08,5
685,22:26:09,5
690,22:26:10,6
695,22:26:11,6
700,22:26:13,6
705,22:26:14,6
710,22:26:15,5
715,22:26:16,5
720,22:26:18,6
725,22:26:19,5
730,22:26:20,6
735,22:26:21,5
740,22:26:23,5
745,22:26:24,5
750,22:26:25,5
755,22:26:27,5
760,22:26:28,5
765,22:26:29,5
770,22:26:30,5
775,22:26:31,5
780,22:26:33,5
785,22:26:34,5
790,22:26:35,5
795,22:26:36,5
800,22:26:38,5
805,22:26:39,5
810,22:26:40,5
815,22:26:41,5
820,22:26:43,5
825,22:26:44,5
830,22:26:45,5
835,22:26:46,5
840,22:26:48,6
845,22:26:49,5
850,22:26:50,6
855,22:26:52,5
860,22:26:53,5
865,22:26:54,6
870,22:26:55,6
875,22:26:57,5
880,22:26:58,5
885,22:26:59,5
890,22:27:00,5
895,22:27:02,5
900,22:27:03,5
905,22:27:04,5
910,22:27:06,5
915,22:27:07,5
920,22:27:08,6
925,22:27:10,5
930,22:27:11,5
935,22:27:12,5
940,22:27:13,6
945,22:27:15,5
950,22:27:16,5
955,22:27:17,5
960,22:27:19,5
965,22:27:20,5
970,22:27:21,5
975,22:27:22,5
980,22:27:24,5
985,22:27:25,6
990,22:27:26,5
995,22:27:28,5
1000,22:27:29,5
1005,22:27:30,5
1010,22:27:31,5
1015,22:27:33,5
1020,22:27:34,6
1025,22:27:35,5
1030,22:27:37,5
1035,22:27:38,6
1040,22:27:39,6
1045,22:27:41,6
1050,22:27:42,6
1055,22:27:43,6
1060,22:27:44,6
1065,22:27:46,6
1070,22:27:47,5
1075,22:27:48,6
1080,22:27:50,6
1085,22:27:51,5
1090,22:27:53,5
1095,22:27:54,6
1100,22:27:55,6
1105,22:27:57,5
1110,22:27:58,5
1115,22:27:59,6
1120,22:28:01,6
1125,22:28:02,5
1130,22:28:04,5
1135,22:28:05,5
1140,22:28:06,5
1145,22:28:08,6
1150,22:28:09,6
1155,22:28:10,6
1160,22:28:12,6
1165,22:28:13,7
1170,22:28:14,7
1175,22:28:16,7
1180,22:28:17,7
1185,22:28:18,8
1190,22:28:19,7
1195,22:28:21,8
1200,22:28:22,7
1205,22:28:24,7
1210,22:28:25,7
1215,22:28:26,7
1220,22:28:27,7
1225,22:28:29,9
1230,22:28:30,8
1235,22:28:31,6
1240,22:28:33,7
1245,22:28:34,6
1250,22:28:36,8
1255,22:28:37,6
1260,22:28:38,6
1265,22:28:39,6
1270,22:28:40,5
1275,22:28:41,6
1280,22:28:43,6
1285,22:28:44,7
1290,22:28:46,7
1295,22:28:47,7
1300,22:28:49,7
1305,22:28:50,7
1310,22:28:52,7
1315,22:28:53,7
1320,22:28:54,7
1325,22:28:55,6
1330,22:28:56,6
1335,22:28:58,5
1340,22:28:59,6
1345,22:29:00,6
1350,22:29:01,5
1355,22:29:02,6
1360,22:29:04,6
1365,22:29:05,6
1370,22:29:06,5
1375,22:29:07,6
1380,22:29:08,7
1385,22:29:10,7
1390,22:29:11,7
1395,22:29:12,8
1400,22:29:13,8
1405,22:29:14,6
1410,22:29:15,7
1415,22:29:17,6
1420,22:29:18,7
1425,22:29:19,8
1430,22:29:20,7
1435,22:29:21,6
1440,22:29:23,6
1445,22:29:24,7
1450,22:29:25,7
1455,22:29:26,7
1460,22:29:27,8
1465,22:29:29,6
1470,22:29:30,7
1475,22:29:31,6
1480,22:29:32,6
1485,22:29:33,7
1490,22:29:34,6
1495,22:29:36,5
1500,22:29:37,7
1505,22:29:38,7
1510,22:29:39,6
1515,22:29:40,5
1520,22:29:42,5
1525,22:29:43,5
1530,22:29:44,5
1535,22:29:45,6
1540,22:29:46,7
1545,22:29:48,6
1550,22:29:49,5
1555,22:29:50,6
1560,22:29:51,6
1565,22:29:52,5
1570,22:29:53,5
1575,22:29:54,6
1580,22:29:55,6
1585,22:29:56,6
1590,22:29:57,6
1595,22:29:57,6
1600,22:29:58,6
1605,22:29:59,7
1610,22:30:01,6
1615,22:30:02,7
1620,22:30:02,7
1625,22:30:03,8
1630,22:30:04,8
1635,22:30:05,9
1640,22:30:06,9
1645,22:30:07,7
1650,22:30:08,6
1655,22:30:09,6
1660,22:30:10,6
1665,22:30:11,7
1670,22:30:12,6
1675,22:30:13,6
1680,22:30:14,6
1685,22:30:15,6
1690,22:30:16,6
1695,22:30:17,9
1700,22:30:18,7
1705,22:30:19,8
1710,22:30:20,7
1715,22:30:21,7
1720,22:30:22,6
1725,22:30:23,7
1730,22:30:24,7
1735,22:30:25,7
1740,22:30:26,7
1745,22:30:27,7
1750,22:30:28,7
1755,22:30:29,8
1760,22:30:30,8
1765,22:30:31,7
1770,22:30:32,6
1775,22:30:33,7
1780,22:30:34,7
1785,22:30:35,8
1790,22:30:36,8
1795,22:30:37,8
1800,22:30:38,8
1805,22:30:39,8
1810,22:30:40,8
1815,22:30:40,8
1820,22:30:41,8
1825,22:30:42,9
1830,22:30:44,9
1835,22:30:44,8
1840,22:30:45,8
1845,22:30:46,8
1850,22:30:47,9
1855,22:30:48,8
1860,22:30:49,9
1865,22:30:50,9
1870,22:30:51,8
1875,22:30:52,8
1880,22:30:53,8
1885,22:30:54,8
1890,22:30:55,8
1895,22:30:56,8
1900,22:30:57,8
1905,22:30:58,8
1910,22:30:59,9
1915,22:31:00,8
1920,22:31:01,8
1925,22:31:02,8
1930,22:31:03,8
1935,22:31:04,8
1940,22:31:05,8
1945,22:31:06,8
1950,22:31:07,9
1955,22:31:08,8
1960,22:31:09,8
1965,22:31:10,7
1970,22:31:11,7
1975,22:31:12,8
1980,22:31:13,8
1985,22:31:14,8
1990,22:31:15,8
1995,22:31:16,8
2000,22:31:17,8
2005,22:31:18,8
2010,22:31:19,7
2015,22:31:20,7
2020,22:31:21,7
2025,22:31:22,8
2030,22:31:22,7
2035,22:31:23,7
2040,22:31:24,8
2045,22:31:26,8
2050,22:31:27,9
2055,22:31:27,7
2060,22:31:28,7
2065,22:31:29,8
2070,22:31:30,8
2075,22:31:31,9
2080,22:31:32,8
2085,22:31:33,8
2090,22:31:34,7
2095,22:31:35,8
2100,22:31:36,8
2105,22:31:37,8
2110,22:31:38,8
2115,22:31:39,8
2120,22:31:40,8
2125,22:31:41,8
2130,22:31:42,8
2135,22:31:43,8
2140,22:31:44,8
2145,22:31:45,8
2150,22:31:46,8
2155,22:31:47,8
2160,22:31:48,8
2165,22:31:49,8
2170,22:31:50,7
2175,22:31:51,8
2180,22:31:52,8
2185,22:31:53,8
2190,22:31:54,8
2195,22:31:55,8
2200,22:31:56,8
2205,22:31:57,8
2210,22:31:58,8
2215,22:31:59,7
2220,22:32:00,7
2225,22:32:01,6
2230,22:32:02,7
2235,22:32:03,7
2240,22:32:04,7
2245,22:32:04,7
2250,22:32:05,6
2255,22:32:06,6
2260,22:32:07,6
2265,22:32:08,6
2270,22:32:09,6
2275,22:32:10,7
2280,22:32:11,6
2285,22:32:12,6
2290,22:32:13,7
2295,22:32:14,7
2300,22:32:15,7
2305,22:32:16,8
2310,22:32:17,7
2315,22:32:18,7
2320,22:32:19,6
2325,22:32:20,7
2330,22:32:21,7
2335,22:32:22,7
2340,22:32:23,7
2345,22:32:24,8
2350,22:32:25,7
2355,22:32:26,7
2360,22:32:27,8
2365,22:32:28,8
2370,22:32:29,8
2375,22:32:30,8
2380,22:32:31,8
2385,22:32:32,8
2390,22:32:33,7
2395,22:32:34,7
2400,22:32:35,7
2405,22:32:36,7
2410,22:32:37,7
2415,22:32:38,7
2420,22:32:39,7
2425,22:32:39,7
2430,22:32:41,7
2435,22:32:42,7
2440,22:32:43,7
2445,22:32:43,7
2450,22:32:44,7
2455,22:32:45,7
2460,22:32:46,7
2465,22:32:47,8
2470,22:32:48,8
2475,22:32:49,8
2480,22:32:50,7
2485,22:32:51,8
2490,22:32:52,8
2495,22:32:53,6
2500,22:32:54,5
2505,22:32:55,6
2510,22:32:56,6
2515,22:32:57,5
2520,22:32:58,6
2525,22:32:59,6
2530,22:33:00,6
2535,22:33:01,6
2540,22:33:02,7
2545,22:33:03,7
2550,22:33:04,6
2555,22:33:05,6
2560,22:33:06,6
2565,22:33:07,6
2570,22:33:08,6
2575,22:33:09,6
2580,22:33:10,6
2585,22:33:11,6
2590,22:33:12,6
2595,22:33:13,6
2600,22:33:14,6
2605,22:33:15,7
2610,22:33:16,8
2615,22:33:17,6
2620,22:33:17,7
2625,22:33:18,7
2630,22:33:19,7
2635,22:33:20,6
2640,22:33:21,6
2645,22:33:22,5
2650,22:33:23,7
2655,22:33:24,7
2660,22:33:25,7
2665,22:33:26,6
2670,22:33:27,7
2675,22:33:28,7
2680,22:33:29,7
2685,22:33:30,5
2690,22:33:31,8
2695,22:33:32,7
2700,22:33:33,6
2705,22:33:34,6
2710,22:33:35,7
2715,22:33:36,5
2720,22:33:37,5
2725,22:33:38,7
2730,22:33:39,8
2735,22:33:40,7
2740,22:33:41,8
2745,22:33:42,6
2750,22:33:43,8
2755,22:33:44,7
2760,22:33:45,7
2765,22:33:46,6
2770,22:33:47,7
2775,22:33:48,8
2780,22:33:49,9
2785,22:33:49,8
2790,22:33:50,8
2795,22:33:51,8
2800,22:33:52,7
2805,22:33:53,8
2810,22:33:54,9
2815,22:33:55,8
2820,22:33:56,8
2825,22:33:57,8
2830,22:33:58,8
2835,22:33:59,8
2840,22:34:00,8
2845,22:34:01,8
2850,22:34:02,9
2855,22:34:03,8
2860,22:34:04,8
2865,22:34:05,8
2870,22:34:06,8
2875,22:34:07,8
2880,22:34:08,8
2885,22:34:09,8
2890,22:34:10,8
2895,22:34:11,8
2900,22:34:12,9
2905,22:34:13,9
2910,22:34:14,9
2915,22:34:15,8
2920,22:34:16,8
2925,22:34:17,8
2930,22:34:18,8
2935,22:34:19,8
2940,22:34:20,7
2945,22:34:21,8
2950,22:34:22,7
2955,22:34:23,8
2960,22:34:23,8
