Frame,Time,People_Count
0,23:01:16,0
5,23:01:24,0
10,23:01:32,0
15,23:01:40,1
20,23:01:48,2
25,23:01:55,0
30,23:02:03,1
35,23:02:11,1
40,23:02:18,1
45,23:02:26,2
50,23:02:33,6
55,23:02:41,4
60,23:02:49,8
65,23:02:57,8
70,23:03:04,8
75,23:03:12,7
80,23:03:20,9
85,23:03:27,6
90,23:03:35,8
95,23:03:42,7
100,23:03:50,8
105,23:03:57,7
110,23:04:05,11
115,23:04:12,7
120,23:04:20,6
125,23:04:27,6
130,23:04:35,6
135,23:04:43,7
140,23:04:50,6
145,23:04:58,6
150,23:05:06,5
155,23:05:13,5
160,23:05:21,5
165,23:05:29,5
170,23:05:36,5
175,23:05:44,6
180,23:05:51,5
185,23:05:59,6
190,23:06:06,5
195,23:06:14,5
200,23:06:22,5
205,23:06:29,6
210,23:06:37,6
215,23:06:45,5
220,23:06:52,6
225,23:07:00,6
230,23:07:08,6
235,23:07:15,7
240,23:07:23,8
245,23:07:30,7
250,23:07:38,6
255,23:07:46,5
260,23:07:53,7
265,23:08:01,7
270,23:08:08,6
275,23:08:16,5
280,23:08:24,8
285,23:08:31,7
290,23:08:39,7
295,23:08:46,7
300,23:08:54,5
305,23:09:02,5
310,23:09:09,6
315,23:09:17,5
320,23:09:25,6
325,23:09:32,7
330,23:09:40,7
335,23:09:47,6
340,23:09:55,8
345,23:10:02,6
350,23:10:10,7
355,23:10:18,6
360,23:10:25,8
365,23:10:33,8
370,23:10:41,8
375,23:10:48,8
380,23:10:56,8
385,23:11:04,8
390,23:11:11,8
395,23:11:19,7
400,23:11:26,8
405,23:11:34,7
410,23:11:41,8
415,23:11:49,8
420,23:11:57,8
425,23:12:04,8
430,23:12:12,8
435,23:12:19,7
440,23:12:27,8
445,23:12:35,7
450,23:12:42,7
455,23:12:50,6
460,23:12:57,7
465,23:13:05,6
470,23:13:13,8
475,23:13:20,8
480,23:13:28,7
485,23:13:35,7
490,23:13:43,7
495,23:13:51,8
500,23:13:58,6
505,23:14:06,6
510,23:14:14,7
515,23:14:21,6
520,23:14:29,6
525,23:14:36,7
530,23:14:44,5
535,23:14:52,7
540,23:14:59,7
545,23:15:07,5
550,23:15:14,6
555,23:15:22,7
560,23:15:29,8
565,23:15:37,8
570,23:15:44,8
575,23:15:52,8
580,23:16:00,8
585,23:16:07,8
590,23:16:15,8
595,23:16:23,8
600,23:16:30,8
605,23:16:38,7
610,23:16:45,8
615,23:16:53,8
620,23:17:01,10
625,23:17:08,10
630,23:17:16,12
635,23:17:23,8
640,23:17:31,8
645,23:17:39,8
650,23:17:46,8
655,23:17:54,8
660,23:18:02,8
665,23:18:09,8
670,23:18:17,7
675,23:18:24,7
680,23:18:32,7
685,23:18:39,7
690,23:18:47,10
695,23:18:55,9
700,23:19:02,8
705,23:19:10,8
710,23:19:17,9
715,23:19:25,8
720,23:19:32,6
725,23:19:40,9
730,23:19:48,9
735,23:19:55,9
740,23:20:03,8
745,23:20:10,7
750,23:20:18,9
755,23:20:26,9
760,23:20:33,9
765,23:20:41,8
770,23:20:48,7
775,23:20:56,7
780,23:21:04,8
785,23:21:11,6
790,23:21:19,6
795,23:21:26,5
800,23:21:34,6
805,23:21:42,6
810,23:21:49,5
815,23:21:57,6
820,23:22:04,7
825,23:22:12,6
830,23:22:19,6
835,23:22:27,7
840,23:22:35,6
845,23:22:42,6
850,23:22:50,5
855,23:22:58,5
860,23:23:05,6
865,23:23:13,6
870,23:23:21,6
875,23:23:28,6
880,23:23:36,6
885,23:23:43,6
890,23:23:51,7
895,23:23:58,6
900,23:24:06,6
905,23:24:14,5
910,23:24:21,5
915,23:24:29,5
920,23:24:36,7
925,23:24:44,7
930,23:24:52,6
935,23:24:59,6
940,23:25:07,6
945,23:25:15,6
950,23:25:22,6
955,23:25:30,7
960,23:25:37,6
965,23:25:45,6
970,23:25:52,7
975,23:26:00,7
980,23:26:08,7
985,23:26:15,6
990,23:26:23,6
995,23:26:30,6
1000,23:26:38,7
1005,23:26:46,7
1010,23:26:53,7
1015,23:27:01,6
1020,23:27:08,7
1025,23:27:16,8
1030,23:27:24,7
1035,23:27:31,7
1040,23:27:39,9
1045,23:27:46,9
1050,23:27:54,6
1055,23:28:01,8
1060,23:28:09,7
1065,23:28:17,8
1070,23:28:24,9
1075,23:28:32,8
1080,23:28:40,8
1085,23:28:47,7
1090,23:28:55,7
1095,23:29:02,7
1100,23:29:10,7
1105,23:29:17,6
1110,23:29:25,8
1115,23:29:33,8
1120,23:29:40,8
1125,23:29:48,6
1130,23:29:56,6
1135,23:30:03,8
1140,23:30:11,7
1145,23:30:18,6
1150,23:30:26,5
1155,23:30:33,6
1160,23:30:41,5
1165,23:30:49,5
1170,23:30:56,5
1175,23:31:04,6
1180,23:31:11,6
1185,23:31:19,7
1190,23:31:26,6
1195,23:31:34,6
1200,23:31:41,6
1205,23:31:49,6
1210,23:31:57,5
1215,23:32:04,7
1220,23:32:12,7
1225,23:32:19,6
1230,23:32:27,6
1235,23:32:34,6
1240,23:32:42,6
1245,23:32:49,6
1250,23:32:57,6
1255,23:33:05,6
1260,23:33:12,6
1265,23:33:20,6
1270,23:33:28,5
1275,23:33:35,4
1280,23:33:43,5
1285,23:33:50,5
1290,23:33:58,5
1295,23:34:06,5
1300,23:34:13,5
1305,23:34:21,6
1310,23:34:28,6
1315,23:34:36,6
1320,23:34:43,6
1325,23:34:51,5
1330,23:34:59,5
1335,23:35:06,5
1340,23:35:14,5
1345,23:35:21,5
1350,23:35:29,5
1355,23:35:36,6
1360,23:35:44,5
1365,23:35:52,5
1370,23:35:59,5
1375,23:36:07,5
1380,23:36:14,6
1385,23:36:22,5
1390,23:36:29,5
1395,23:36:37,5
1400,23:36:45,6
1405,23:36:52,5
1410,23:37:00,5
1415,23:37:07,5
1420,23:37:15,6
1425,23:37:23,5
1430,23:37:30,5
1435,23:37:38,5
1440,23:37:45,6
1445,23:37:53,4
1450,23:38:01,5
1455,23:38:08,5
1460,23:38:16,4
1465,23:38:23,4
1470,23:38:31,4
1475,23:38:38,5
1480,23:38:46,5
1485,23:38:53,4
1490,23:39:01,5
1495,23:39:08,4
1500,23:39:16,5
1505,23:39:23,7
1510,23:39:31,5
1515,23:39:39,5
1520,23:39:46,5
1525,23:39:54,5
1530,23:40:01,6
1535,23:40:09,6
1540,23:40:17,6
1545,23:40:24,5
1550,23:40:32,5
1555,23:40:39,6
1560,23:40:47,7
1565,23:40:54,7
1570,23:41:02,7
1575,23:41:10,6
1580,23:41:17,6
1585,23:41:25,7
1590,23:41:32,8
1595,23:41:40,6
1600,23:41:48,7
1605,23:41:55,7
1610,23:42:03,7
1615,23:42:10,6
1620,23:42:18,7
1625,23:42:26,7
1630,23:42:33,7
1635,23:42:41,8
1640,23:42:48,7
1645,23:42:56,7
1650,23:43:04,6
1655,23:43:11,5
1660,23:43:19,5
1665,23:43:26,5
1670,23:43:34,5
1675,23:43:41,6
1680,23:43:49,8
1685,23:43:57,5
1690,23:44:04,5
1695,23:44:11,4
1700,23:44:19,4
1705,23:44:27,5
1710,23:44:34,6
1715,23:44:42,6
1720,23:44:49,5
1725,23:44:57,5
1730,23:45:04,5
1735,23:45:12,6
1740,23:45:19,6
1745,23:45:27,5
1750,23:45:35,5
1755,23:45:42,6
1760,23:45:50,6
1765,23:45:57,6
1770,23:46:05,6
1775,23:46:12,7
1780,23:46:20,6
1785,23:46:27,5
1790,23:46:35,7
1795,23:46:42,5
1800,23:46:50,6
1805,23:46:58,6
1810,23:47:05,7
1815,23:47:13,7
1820,23:47:21,6
1825,23:47:28,6
1830,23:47:36,6
1835,23:47:43,7
1840,23:47:51,6
1845,23:47:58,6
1850,23:48:06,6
1855,23:48:14,6
1860,23:48:21,6
1865,23:48:29,5
1870,23:48:36,5
1875,23:48:44,5
1880,23:48:51,5
1885,23:48:59,4
1890,23:49:07,4
1895,23:49:14,4
1900,23:49:22,4
1905,23:49:29,4
1910,23:49:37,4
1915,23:49:44,4
1920,23:49:52,4
1925,23:50:00,5
1930,23:50:07,5
1935,23:50:15,5
1940,23:50:22,6
1945,23:50:30,6
1950,23:50:38,6
1955,23:50:45,5
1960,23:50:53,5
1965,23:51:00,5
1970,23:51:08,5
1975,23:51:15,5
1980,23:51:23,5
1985,23:51:31,6
1990,23:51:38,6
1995,23:51:46,6
2000,23:51:53,6
2005,23:52:01,6
2010,23:52:09,6
2015,23:52:17,6
2020,23:52:24,7
2025,23:52:32,6
2030,23:52:39,6
2035,23:52:47,5
2040,23:52:54,5
2045,23:53:02,5
2050,23:53:10,5
2055,23:53:17,5
2060,23:53:25,5
2065,23:53:32,6
2070,23:53:40,6
2075,23:53:47,6
