Frame,Time,People_Count
0,20:49:42,4
5,20:49:43,5
10,20:49:44,4
15,20:49:45,3
20,20:49:46,4
25,20:49:47,4
30,20:49:48,4
35,20:49:49,3
40,20:49:50,3
45,20:49:51,3
50,20:49:52,3
55,20:49:53,3
60,20:49:54,3
65,20:49:55,3
70,20:49:56,4
75,20:49:57,4
80,20:49:58,4
85,20:49:59,4
90,20:50:00,4
95,20:50:01,4
100,20:50:02,4
105,20:50:04,4
110,20:50:05,4
115,20:50:06,4
120,20:50:07,4
125,20:50:08,4
130,20:50:09,4
135,20:50:10,4
140,20:50:11,4
145,20:50:12,4
150,20:50:13,4
155,20:50:14,4
160,20:50:15,4
165,20:50:16,4
170,20:50:17,4
175,20:50:18,4
180,20:50:20,4
185,20:50:21,4
190,20:50:22,4
195,20:50:23,4
200,20:50:24,4
205,20:50:25,4
210,20:50:26,4
215,20:50:27,4
220,20:50:28,4
225,20:50:29,5
230,20:50:30,4
235,20:50:31,5
240,20:50:31,5
245,20:50:32,5
250,20:50:33,4
255,20:50:35,4
260,20:50:36,4
265,20:50:37,4
270,20:50:38,4
275,20:50:38,4
280,20:50:39,4
285,20:50:40,5
290,20:50:41,4
295,20:50:42,4
300,20:50:43,5
305,20:50:44,5
310,20:50:45,4
315,20:50:47,4
320,20:50:47,4
325,20:50:48,4
330,20:50:49,4
335,20:50:50,4
340,20:50:51,4
345,20:50:52,3
350,20:50:53,3
355,20:50:54,3
360,20:50:55,3
365,20:50:56,3
370,20:50:57,3
375,20:50:58,3
380,20:50:59,3
385,20:51:00,3
390,20:51:01,3
395,20:51:02,3
400,20:51:03,3
405,20:51:04,3
410,20:51:05,3
415,20:51:06,3
420,20:51:07,2
425,20:51:08,3
430,20:51:09,3
435,20:51:11,3
440,20:51:12,3
445,20:51:13,4
450,20:51:14,4
455,20:51:15,4
460,20:51:16,3
465,20:51:17,4
470,20:51:18,4
475,20:51:19,4
480,20:51:20,4
485,20:51:21,4
490,20:51:22,4
495,20:51:23,3
