Frame,Time,People_Count
0,20:59:59,0
5,21:00:07,0
10,21:00:16,0
15,21:00:24,0
20,21:00:32,0
25,21:00:40,0
30,21:00:48,1
35,21:00:56,2
40,21:01:04,4
45,21:01:12,4
50,21:01:20,4
55,21:01:28,4
60,21:01:36,3
65,21:01:44,4
70,21:01:52,3
75,21:02:00,3
80,21:02:08,3
85,21:02:16,2
90,21:02:24,4
95,21:02:32,4
100,21:02:40,3
105,21:02:48,3
110,21:02:56,2
115,21:03:04,3
120,21:03:12,3
125,21:03:20,3
130,21:03:28,3
135,21:03:36,3
140,21:03:44,3
145,21:03:52,3
150,21:04:00,3
155,21:04:08,3
160,21:04:16,4
165,21:04:24,4
170,21:04:32,2
175,21:04:40,4
180,21:04:48,3
185,21:04:56,3
190,21:05:04,3
195,21:05:12,4
200,21:05:20,4
205,21:05:28,4
210,21:05:36,6
215,21:05:44,4
220,21:05:52,4
225,21:06:00,4
230,21:06:08,4
235,21:06:16,4
240,21:06:24,4
245,21:06:32,4
250,21:06:39,3
255,21:06:48,2
260,21:06:55,3
265,21:07:03,3
270,21:07:11,3
275,21:07:19,3
280,21:07:27,2
285,21:07:35,2
290,21:07:43,2
295,21:07:51,2
300,21:07:59,3
305,21:08:07,3
310,21:08:15,3
315,21:08:23,3
320,21:08:31,4
325,21:08:39,6
330,21:08:47,5
335,21:08:55,6
340,21:09:03,4
345,21:09:11,3
350,21:09:19,5
355,21:09:27,4
360,21:09:35,5
365,21:09:42,3
370,21:09:50,4
375,21:09:58,3
380,21:10:06,5
385,21:10:15,5
390,21:10:23,4
395,21:10:30,4
400,21:10:38,4
405,21:10:46,4
410,21:10:54,3
415,21:11:02,4
420,21:11:10,3
425,21:11:18,2
430,21:11:26,1
435,21:11:34,3
440,21:11:42,2
