Frame,Time,People_Count
0,00:28:14,7
5,00:28:15,8
10,00:28:16,6
15,00:28:17,6
20,00:28:18,6
25,00:28:19,9
30,00:28:20,9
35,00:28:21,9
40,00:28:22,8
45,00:28:23,8
50,00:28:24,8
55,00:28:25,8
60,00:28:26,9
65,00:28:27,9
70,00:28:28,8
75,00:28:29,8
80,00:28:30,8
85,00:28:31,8
90,00:28:32,8
95,00:28:33,7
100,00:28:34,7
105,00:28:35,8
110,00:28:36,8
115,00:28:37,7
120,00:28:37,8
125,00:28:39,7
130,00:28:40,7
135,00:28:40,7
140,00:28:41,8
145,00:28:42,9
150,00:28:43,10
155,00:28:44,10
160,00:28:45,7
165,00:28:46,7
170,00:28:47,8
175,00:28:48,9
180,00:28:49,8
185,00:28:50,8
190,00:28:51,8
195,00:28:52,7
200,00:28:53,7
205,00:28:54,8
210,00:28:55,7
215,00:28:56,7
220,00:28:57,6
225,00:28:58,7
230,00:28:59,7
235,00:29:00,8
240,00:29:01,8
245,00:29:02,9
250,00:29:03,8
255,00:29:03,9
260,00:29:04,10
265,00:29:05,9
270,00:29:06,9
275,00:29:07,9
280,00:29:08,8
285,00:29:09,9
290,00:29:10,8
295,00:29:11,9
300,00:29:12,8
305,00:29:13,8
310,00:29:14,8
315,00:29:15,9
320,00:29:16,9
325,00:29:17,8
330,00:29:18,8
335,00:29:19,6
340,00:29:20,7
345,00:29:21,7
350,00:29:22,5
355,00:29:23,6
360,00:29:24,6
365,00:29:25,7
370,00:29:26,6
375,00:29:26,8
380,00:29:27,7
385,00:29:28,8
390,00:29:29,8
395,00:29:30,7
400,00:29:31,7
405,00:29:32,8
410,00:29:33,8
415,00:29:34,8
420,00:29:35,8
425,00:29:36,9
430,00:29:37,6
435,00:29:38,5
440,00:29:39,5
445,00:29:40,7
450,00:29:41,6
455,00:29:42,7
460,00:29:43,7
465,00:29:44,7
470,00:29:45,7
475,00:29:46,8
480,00:29:47,4
485,00:29:48,7
490,00:29:48,7
495,00:29:49,6
500,00:29:50,7
505,00:29:51,7
510,00:29:52,6
515,00:29:53,6
520,00:29:54,6
525,00:29:55,6
530,00:29:56,6
535,00:29:57,6
540,00:29:58,6
545,00:29:59,6
550,00:30:00,6
555,00:30:01,6
560,00:30:02,6
565,00:30:03,6
570,00:30:04,6
575,00:30:05,6
580,00:30:06,6
585,00:30:07,6
590,00:30:08,6
595,00:30:09,6
600,00:30:10,6
605,00:30:11,6
610,00:30:11,6
615,00:30:12,6
620,00:30:13,6
625,00:30:14,6
630,00:30:15,7
635,00:30:16,7
640,00:30:17,7
645,00:30:18,7
650,00:30:19,7
655,00:30:20,7
660,00:30:21,7
665,00:30:22,7
670,00:30:23,7
675,00:30:24,7
680,00:30:25,7
685,00:30:26,7
690,00:30:27,7
695,00:30:28,7
700,00:30:29,8
705,00:30:30,8
710,00:30:31,8
715,00:30:32,8
720,00:30:33,8
725,00:30:33,7
730,00:30:34,8
735,00:30:35,8
740,00:30:36,7
745,00:30:37,7
750,00:30:38,7
755,00:30:39,7
760,00:30:40,7
765,00:30:41,7
770,00:30:42,7
775,00:30:43,7
780,00:30:44,7
785,00:30:45,7
790,00:30:46,7
795,00:30:47,7
800,00:30:48,7
805,00:30:49,8
810,00:30:50,8
815,00:30:51,8
820,00:30:52,8
825,00:30:53,8
830,00:30:54,8
835,00:30:55,8
840,00:30:56,8
845,00:30:57,7
850,00:30:58,8
855,00:30:59,8
860,00:31:00,8
865,00:31:00,8
870,00:31:01,7
875,00:31:02,7
