Frame,Time,People_Count
0,00:40:47,0
5,00:40:55,0
10,00:41:03,0
15,00:41:10,1
20,00:41:17,0
25,00:41:25,0
30,00:41:33,1
35,00:41:40,1
40,00:41:48,1
45,00:41:55,3
50,00:42:03,5
55,00:42:10,1
60,00:42:18,1
65,00:42:25,1
70,00:42:32,1
75,00:42:40,1
80,00:42:47,1
85,00:42:55,2
90,00:43:02,3
95,00:43:10,7
100,00:43:17,6
105,00:43:24,6
110,00:43:32,6
115,00:43:40,6
120,00:43:47,6
125,00:43:55,6
130,00:44:02,7
135,00:44:10,7
140,00:44:17,7
145,00:44:25,8
150,00:44:33,7
155,00:44:40,7
160,00:44:47,7
165,00:44:55,8
170,00:45:03,7
175,00:45:10,7
180,00:45:18,7
185,00:45:25,8
190,00:45:33,8
195,00:45:40,8
200,00:45:48,7
205,00:45:55,8
210,00:46:02,7
215,00:46:10,8
220,00:46:17,8
225,00:46:25,8
230,00:46:32,8
235,00:46:40,7
240,00:46:47,9
245,00:46:55,8
250,00:47:03,9
255,00:47:10,9
260,00:47:18,8
265,00:47:25,9
270,00:47:33,9
275,00:47:40,9
280,00:47:48,8
285,00:47:55,10
290,00:48:03,9
295,00:48:10,9
300,00:48:18,9
305,00:48:25,8
310,00:48:32,7
315,00:48:40,8
320,00:48:47,8
325,00:48:55,9
330,00:49:02,7
335,00:49:10,6
340,00:49:17,9
345,00:49:25,9
350,00:49:32,9
355,00:49:40,8
360,00:49:47,8
365,00:49:55,8
370,00:50:02,7
375,00:50:10,7
380,00:50:17,7
385,00:50:25,7
390,00:50:32,8
395,00:50:40,8
400,00:50:47,7
405,00:50:55,7
410,00:51:03,7
415,00:51:10,8
420,00:51:18,7
425,00:51:25,8
430,00:51:32,7
435,00:51:40,8
440,00:51:47,8
445,00:51:55,8
450,00:52:02,7
455,00:52:10,6
460,00:52:17,6
465,00:52:25,6
470,00:52:32,7
475,00:52:40,7
480,00:52:47,8
485,00:52:55,7
490,00:53:02,7
495,00:53:09,8
500,00:53:17,7
505,00:53:24,8
510,00:53:32,8
515,00:53:39,7
520,00:53:47,8
525,00:53:54,8
530,00:54:02,9
535,00:54:09,7
540,00:54:17,7
545,00:54:24,7
550,00:54:31,9
555,00:54:39,6
560,00:54:46,8
565,00:54:54,8
570,00:55:01,7
575,00:55:09,7
580,00:55:16,7
585,00:55:24,7
590,00:55:31,8
595,00:55:39,8
600,00:55:46,8
605,00:55:54,7
610,00:56:01,7
615,00:56:08,8
620,00:56:16,8
625,00:56:23,6
630,00:56:31,8
635,00:56:38,8
640,00:56:46,7
645,00:56:53,6
650,00:57:01,6
655,00:57:08,7
660,00:57:16,7
665,00:57:23,6
670,00:57:31,6
675,00:57:38,6
680,00:57:46,9
685,00:57:53,7
690,00:58:01,9
695,00:58:08,8
700,00:58:16,8
705,00:58:23,8
710,00:58:30,8
715,00:58:38,9
720,00:58:45,8
725,00:58:53,10
