Frame,Time,People_Count
0,01:14:16,4
5,01:14:17,4
10,01:14:18,6
15,01:14:18,4
20,01:14:19,5
25,01:14:20,5
30,01:14:21,5
35,01:14:22,4
40,01:14:23,4
45,01:14:24,4
50,01:14:25,5
55,01:14:26,5
60,01:14:27,5
65,01:14:28,4
70,01:14:29,5
75,01:14:30,4
80,01:14:31,4
85,01:14:32,4
90,01:14:33,4
95,01:14:34,4
100,01:14:35,4
105,01:14:36,4
110,01:14:37,5
115,01:14:38,4
120,01:14:39,4
125,01:14:40,4
130,01:14:41,5
135,01:14:42,6
140,01:14:43,5
145,01:14:44,5
150,01:14:45,4
155,01:14:45,4
160,01:14:47,4
165,01:14:48,4
170,01:14:48,4
175,01:14:49,4
180,01:14:50,4
185,01:14:51,4
190,01:14:52,4
195,01:14:53,4
200,01:14:54,4
205,01:14:55,4
210,01:14:56,4
215,01:14:57,4
220,01:14:58,5
225,01:14:59,4
230,01:15:00,4
235,01:15:01,4
240,01:15:02,4
245,01:15:03,4
250,01:15:04,4
255,01:15:05,4
260,01:15:06,4
265,01:15:07,4
270,01:15:08,4
275,01:15:09,4
280,01:15:10,5
285,01:15:11,6
290,01:15:12,6
295,01:15:13,6
300,01:15:14,6
305,01:15:15,6
310,01:15:15,6
315,01:15:16,6
320,01:15:17,6
325,01:15:18,6
330,01:15:19,5
335,01:15:20,5
340,01:15:21,4
345,01:15:22,4
350,01:15:23,5
355,01:15:24,5
360,01:15:25,6
365,01:15:26,6
370,01:15:27,6
375,01:15:28,5
380,01:15:29,6
385,01:15:30,6
390,01:15:31,6
395,01:15:32,6
400,01:15:33,6
405,01:15:34,6
410,01:15:35,6
415,01:15:36,6
420,01:15:37,6
425,01:15:38,7
430,01:15:39,7
435,01:15:40,6
440,01:15:41,6
445,01:15:42,6
450,01:15:43,6
455,01:15:44,7
460,01:15:44,6
465,01:15:45,6
470,01:15:46,7
475,01:15:47,6
480,01:15:48,6
485,01:15:49,6
490,01:15:50,6
495,01:15:51,6
500,01:15:52,5
505,01:15:53,5
510,01:15:54,6
515,01:15:55,5
520,01:15:56,6
525,01:15:57,6
530,01:15:58,6
535,01:15:59,6
540,01:16:00,6
545,01:16:01,5
550,01:16:02,5
555,01:16:03,6
560,01:16:04,6
565,01:16:05,5
570,01:16:06,5
575,01:16:07,5
580,01:16:08,5
585,01:16:09,5
590,01:16:10,6
595,01:16:10,6
600,01:16:11,6
605,01:16:13,6
610,01:16:13,6
615,01:16:14,6
620,01:16:15,6
625,01:16:16,6
630,01:16:17,6
635,01:16:18,6
640,01:16:19,6
645,01:16:20,6
650,01:16:21,6
655,01:16:22,6
660,01:16:23,6
665,01:16:24,6
670,01:16:25,6
675,01:16:26,6
680,01:16:27,6
685,01:16:28,6
690,01:16:29,6
695,01:16:30,6
700,01:16:31,6
705,01:16:32,5
710,01:16:33,6
715,01:16:34,5
720,01:16:35,6
725,01:16:36,5
730,01:16:37,5
735,01:16:38,5
740,01:16:39,5
745,01:16:40,5
750,01:16:40,5
755,01:16:41,4
760,01:16:42,4
765,01:16:43,5
770,01:16:44,5
775,01:16:45,5
780,01:16:46,5
785,01:16:47,5
790,01:16:48,5
795,01:16:49,5
800,01:16:50,5
805,01:16:51,5
810,01:16:52,5
815,01:16:53,5
820,01:16:54,5
825,01:16:55,5
830,01:16:56,5
835,01:16:57,5
840,01:16:58,5
845,01:16:59,5
850,01:17:00,5
855,01:17:01,5
860,01:17:02,5
865,01:17:03,5
870,01:17:04,5
875,01:17:05,5
880,01:17:06,5
885,01:17:07,5
890,01:17:08,5
895,01:17:09,5
900,01:17:10,5
905,01:17:10,5
910,01:17:11,5
915,01:17:12,5
920,01:17:13,5
925,01:17:14,5
930,01:17:15,7
935,01:17:16,6
940,01:17:17,6
945,01:17:18,6
950,01:17:19,6
955,01:17:20,6
960,01:17:21,6
965,01:17:22,6
970,01:17:23,6
975,01:17:24,6
980,01:17:25,6
985,01:17:26,6
990,01:17:27,6
995,01:17:28,6
1000,01:17:29,6
1005,01:17:30,6
1010,01:17:31,6
1015,01:17:32,6
1020,01:17:33,6
1025,01:17:34,6
1030,01:17:34,6
1035,01:17:35,6
1040,01:17:36,6
1045,01:17:37,6
1050,01:17:38,6
1055,01:17:39,6
1060,01:17:40,6
1065,01:17:41,6
1070,01:17:42,6
1075,01:17:43,6
1080,01:17:44,6
1085,01:17:45,6
1090,01:17:46,6
1095,01:17:47,6
1100,01:17:48,6
1105,01:17:49,6
1110,01:17:50,6
1115,01:17:51,6
1120,01:17:52,6
1125,01:17:53,6
1130,01:17:54,6
1135,01:17:55,6
1140,01:17:56,6
1145,01:17:57,6
1150,01:17:58,6
1155,01:17:59,6
1160,01:18:00,6
1165,01:18:01,6
1170,01:18:02,6
1175,01:18:03,6
1180,01:18:04,6
1185,01:18:05,6
1190,01:18:05,6
1195,01:18:06,7
1200,01:18:07,6
1205,01:18:08,6
1210,01:18:09,6
1215,01:18:10,6
1220,01:18:11,6
1225,01:18:12,6
1230,01:18:13,7
1235,01:18:14,7
