Frame,Time,People_Count
0,03:33:28,8
5,03:33:29,8
10,03:33:30,9
15,03:33:31,8
20,03:33:31,8
25,03:33:32,8
30,03:33:33,8
35,03:33:34,8
40,03:33:35,8
45,03:33:36,9
50,03:33:37,9
55,03:33:38,8
60,03:33:39,7
65,03:33:40,7
70,03:33:41,8
75,03:33:42,7
80,03:33:43,8
85,03:33:44,8
90,03:33:45,7
95,03:33:46,6
100,03:33:47,8
105,03:33:48,5
110,03:33:49,5
115,03:33:50,6
120,03:33:51,7
125,03:33:52,8
130,03:33:53,6
135,03:33:54,6
140,03:33:55,6
145,03:33:56,5
150,03:33:57,5
155,03:33:58,5
160,03:33:59,5
165,03:34:00,4
170,03:34:01,5
175,03:34:02,5
180,03:34:03,5
185,03:34:03,5
190,03:34:04,5
195,03:34:05,4
200,03:34:06,4
205,03:34:07,5
210,03:34:08,4
215,03:34:09,5
220,03:34:10,5
225,03:34:11,5
230,03:34:12,6
235,03:34:13,6
240,03:34:14,6
245,03:34:15,6
250,03:34:16,6
255,03:34:17,6
260,03:34:18,6
265,03:34:19,6
270,03:34:20,6
275,03:34:21,6
280,03:34:22,7
285,03:34:23,6
290,03:34:24,6
295,03:34:25,6
300,03:34:26,6
305,03:34:27,6
310,03:34:28,6
315,03:34:29,6
320,03:34:30,6
325,03:34:31,6
330,03:34:32,6
335,03:34:33,7
340,03:34:33,6
345,03:34:34,6
350,03:34:35,6
355,03:34:36,5
360,03:34:37,6
365,03:34:38,5
370,03:34:39,7
375,03:34:40,6
380,03:34:41,6
385,03:34:42,6
390,03:34:43,6
395,03:34:44,6
400,03:34:45,8
405,03:34:46,7
410,03:34:47,6
415,03:34:48,6
420,03:34:49,8
425,03:34:50,6
430,03:34:51,6
435,03:34:52,5
440,03:34:53,6
445,03:34:54,7
450,03:34:55,5
455,03:34:56,5
460,03:34:57,5
465,03:34:58,6
470,03:34:59,5
475,03:34:59,5
480,03:35:00,5
485,03:35:01,6
490,03:35:02,6
495,03:35:03,7
500,03:35:04,7
505,03:35:05,6
510,03:35:06,6
515,03:35:07,6
520,03:35:08,6
525,03:35:09,6
530,03:35:10,6
535,03:35:11,6
540,03:35:12,6
545,03:35:13,6
550,03:35:14,6
555,03:35:15,6
560,03:35:16,7
565,03:35:17,6
570,03:35:18,7
575,03:35:19,6
580,03:35:20,6
585,03:35:21,6
590,03:35:22,6
595,03:35:23,6
600,03:35:24,6
605,03:35:25,6
610,03:35:26,6
615,03:35:27,6
620,03:35:28,6
625,03:35:29,6
630,03:35:29,6
635,03:35:30,6
640,03:35:31,6
645,03:35:32,7
650,03:35:33,6
655,03:35:34,6
660,03:35:35,5
665,03:35:36,5
670,03:35:37,6
675,03:35:38,6
680,03:35:39,6
685,03:35:40,6
690,03:35:41,6
695,03:35:42,6
700,03:35:43,6
705,03:35:44,6
710,03:35:45,6
715,03:35:46,6
720,03:35:47,6
725,03:35:48,6
730,03:35:49,6
735,03:35:50,6
740,03:35:51,6
745,03:35:52,7
750,03:35:53,8
755,03:35:54,8
760,03:35:54,8
765,03:35:55,8
770,03:35:57,7
775,03:35:58,6
780,03:35:58,6
785,03:35:59,6
790,03:36:00,6
795,03:36:01,6
800,03:36:02,6
805,03:36:03,6
810,03:36:04,5
815,03:36:05,7
820,03:36:06,7
825,03:36:07,6
830,03:36:08,6
835,03:36:09,7
840,03:36:10,7
845,03:36:11,6
850,03:36:12,7
855,03:36:13,7
860,03:36:14,7
865,03:36:15,7
870,03:36:16,7
875,03:36:17,7
880,03:36:18,7
885,03:36:19,7
890,03:36:20,7
895,03:36:21,7
900,03:36:22,7
905,03:36:23,6
910,03:36:24,6
915,03:36:25,6
920,03:36:26,6
925,03:36:27,6
930,03:36:28,6
935,03:36:29,6
940,03:36:30,6
945,03:36:31,6
950,03:36:32,6
955,03:36:32,6
960,03:36:33,5
965,03:36:34,5
970,03:36:35,5
975,03:36:36,5
980,03:36:37,5
985,03:36:38,6
990,03:36:39,7
995,03:36:40,6
1000,03:36:41,6
1005,03:36:42,6
1010,03:36:43,6
1015,03:36:44,6
1020,03:36:45,6
1025,03:36:46,7
1030,03:36:47,6
1035,03:36:48,5
1040,03:36:49,5
1045,03:36:50,6
1050,03:36:51,6
1055,03:36:52,7
1060,03:36:53,6
1065,03:36:54,7
1070,03:36:55,6
1075,03:36:56,7
1080,03:36:57,8
1085,03:36:58,9
1090,03:36:59,8
1095,03:37:00,8
1100,03:37:01,8
1105,03:37:02,7
1110,03:37:03,7
1115,03:37:04,7
