Frame,Time,People_Count
0,04:22:55,0
5,04:23:03,0
10,04:23:10,0
15,04:23:18,1
20,04:23:26,2
25,04:23:33,7
30,04:23:41,0
35,04:23:48,0
40,04:23:56,1
45,04:24:03,1
50,04:24:11,1
55,04:24:19,1
60,04:24:26,1
65,04:24:34,2
70,04:24:41,4
75,04:24:49,6
80,04:24:56,6
85,04:25:04,8
90,04:25:12,7
95,04:25:19,5
100,04:25:27,7
105,04:25:34,6
110,04:25:42,6
115,04:25:49,7
120,04:25:57,6
125,04:26:04,6
130,04:26:12,7
135,04:26:20,6
140,04:26:27,6
145,04:26:35,6
150,04:26:42,7
155,04:26:50,7
160,04:26:58,6
165,04:27:05,7
170,04:27:13,6
175,04:27:20,7
180,04:27:28,7
185,04:27:36,6
190,04:27:43,6
195,04:27:51,5
200,04:27:59,6
205,04:28:06,6
210,04:28:14,6
215,04:28:21,6
220,04:28:29,8
225,04:28:36,8
230,04:28:44,7
235,04:28:52,7
240,04:28:59,6
245,04:29:07,6
250,04:29:14,5
255,04:29:22,5
260,04:29:29,4
265,04:29:37,5
270,04:29:45,5
275,04:29:52,5
280,04:30:00,5
285,04:30:08,5
290,04:30:15,6
295,04:30:22,6
300,04:30:30,6
305,04:30:38,6
310,04:30:45,6
315,04:30:53,6
320,04:31:01,6
325,04:31:08,6
330,04:31:16,6
335,04:31:24,6
340,04:31:31,6
345,04:31:39,5
350,04:31:46,6
355,04:31:54,6
360,04:32:01,6
365,04:32:09,6
370,04:32:17,6
375,04:32:24,5
380,04:32:32,5
385,04:32:39,5
390,04:32:47,5
395,04:32:55,5
400,04:33:02,6
405,04:33:10,7
410,04:33:17,6
415,04:33:25,6
420,04:33:33,6
425,04:33:40,7
430,04:33:48,5
435,04:33:55,5
440,04:34:03,5
445,04:34:10,5
450,04:34:18,5
455,04:34:26,5
460,04:34:33,5
465,04:34:41,5
470,04:34:48,6
475,04:34:56,5
480,04:35:03,7
485,04:35:11,7
490,04:35:19,7
495,04:35:26,7
500,04:35:34,6
505,04:35:41,6
510,04:35:49,6
515,04:35:57,7
520,04:36:04,8
525,04:36:12,8
530,04:36:19,8
535,04:36:27,7
540,04:36:34,7
545,04:36:42,7
550,04:36:50,8
555,04:36:57,7
560,04:37:05,7
565,04:37:12,7
570,04:37:20,7
575,04:37:28,7
580,04:37:35,7
585,04:37:43,7
590,04:37:50,7
595,04:37:58,7
600,04:38:06,7
605,04:38:13,7
610,04:38:21,7
615,04:38:28,7
620,04:38:36,7
625,04:38:43,7
630,04:38:51,7
635,04:38:58,7
640,04:39:06,7
645,04:39:13,8
650,04:39:21,8
655,04:39:29,8
660,04:39:36,8
665,04:39:44,7
670,04:39:51,8
675,04:39:59,8
680,04:40:07,9
685,04:40:14,8
690,04:40:22,8
695,04:40:29,7
700,04:40:37,7
705,04:40:45,7
710,04:40:52,8
715,04:41:00,8
720,04:41:07,8
725,04:41:15,8
730,04:41:23,6
735,04:41:30,7
740,04:41:38,8
745,04:41:45,9
750,04:41:53,8
755,04:42:00,7
760,04:42:08,7
765,04:42:16,7
770,04:42:23,7
775,04:42:31,8
780,04:42:38,7
785,04:42:46,7
790,04:42:53,8
795,04:43:01,7
800,04:43:08,7
805,04:43:16,7
810,04:43:24,7
815,04:43:31,7
820,04:43:39,8
825,04:43:46,7
830,04:43:54,7
835,04:44:02,8
840,04:44:09,8
845,04:44:17,8
850,04:44:24,8
855,04:44:32,7
860,04:44:40,7
865,04:44:47,8
870,04:44:55,6
875,04:45:02,5
880,04:45:10,5
885,04:45:17,5
890,04:45:25,5
895,04:45:32,6
900,04:45:40,5
905,04:45:48,6
910,04:45:55,5
915,04:46:03,5
920,04:46:10,5
925,04:46:18,5
930,04:46:25,5
935,04:46:33,5
940,04:46:41,5
945,04:46:48,6
950,04:46:56,6
955,04:47:03,7
960,04:47:11,8
965,04:47:19,6
970,04:47:26,6
975,04:47:34,6
980,04:47:41,8
985,04:47:49,7
990,04:47:56,7
995,04:48:04,7
1000,04:48:12,6
1005,04:48:19,6
1010,04:48:27,6
1015,04:48:34,6
1020,04:48:42,6
1025,04:48:49,6
1030,04:48:57,6
1035,04:49:05,5
