Frame,Time,People_Count_true,Time_teacher,People_Count_teacher,Time_qc,People_Count_qc,Difference
0,1:14:16,5,1:14:16,4.0,02:10:21,0,-5
5,1:14:17,5,1:14:17,4.0,02:10:30,0,-5
10,1:14:18,5,1:14:18,6.0,02:10:39,0,-5
15,1:14:18,5,1:14:18,4.0,02:10:48,0,-5
20,1:14:19,5,1:14:19,5.0,02:10:57,0,-5
25,1:14:20,5,1:14:20,5.0,02:11:06,0,-5
30,1:14:21,5,1:14:21,5.0,02:11:15,1,-4
35,1:14:22,5,1:14:22,4.0,02:11:23,4,-1
40,1:14:23,5,1:14:23,4.0,02:11:32,4,-1
45,1:14:24,5,1:14:24,4.0,02:11:41,6,1
50,1:14:25,5,1:14:25,5.0,02:11:50,4,-1
55,1:14:26,5,1:14:26,5.0,02:11:59,4,-1
60,1:14:27,5,1:14:27,5.0,02:12:08,8,3
65,1:14:28,5,1:14:28,4.0,02:12:17,5,0
70,1:14:29,5,1:14:29,5.0,02:12:25,4,-1
75,1:14:30,5,1:14:30,4.0,02:12:34,6,1
80,1:14:31,5,1:14:31,4.0,02:12:43,5,0
85,1:14:32,5,1:14:32,4.0,02:12:52,7,2
90,1:14:33,5,1:14:33,4.0,02:13:01,7,2
95,1:14:34,5,1:14:34,4.0,02:13:10,1,-4
100,1:14:35,5,1:14:35,4.0,02:13:19,7,2
105,1:14:36,5,1:14:36,4.0,02:13:27,5,0
110,1:14:37,5,1:14:37,5.0,02:13:36,5,0
115,1:14:38,5,1:14:38,4.0,02:13:45,5,0
120,1:14:39,5,1:14:39,4.0,02:13:54,5,0
125,1:14:40,5,1:14:40,4.0,02:14:03,7,2
130,1:14:41,5,1:14:41,5.0,02:14:12,4,-1
135,1:14:42,5,1:14:42,6.0,02:14:21,7,2
140,1:14:43,5,1:14:43,5.0,02:14:29,5,0
145,1:14:44,5,1:14:44,5.0,02:14:38,7,2
150,1:14:45,5,1:14:45,4.0,02:14:47,5,0
155,1:14:45,5,1:14:45,4.0,02:14:56,5,0
160,1:14:47,5,1:14:47,4.0,02:15:05,5,0
165,1:14:48,5,1:14:48,4.0,02:15:13,5,0
170,1:14:48,5,1:14:48,4.0,02:15:22,5,0
175,1:14:49,5,1:14:49,4.0,02:15:31,5,0
180,1:14:50,5,1:14:50,4.0,02:15:40,5,0
185,1:14:51,5,1:14:51,4.0,02:15:48,5,0
190,1:14:52,5,1:14:52,4.0,02:15:57,4,-1
195,1:14:53,5,1:14:53,4.0,02:16:06,6,1
200,1:14:54,5,1:14:54,4.0,02:16:15,5,0
205,1:14:55,5,1:14:55,4.0,02:16:24,7,2
210,1:14:56,5,1:14:56,4.0,02:16:32,5,0
215,1:14:57,5,1:14:57,4.0,02:16:41,7,2
220,1:14:58,5,1:14:58,5.0,02:16:50,5,0
225,1:14:59,5,1:14:59,4.0,02:16:59,7,2
230,1:15:00,5,1:15:00,4.0,02:17:07,5,0
235,1:15:01,5,1:15:01,4.0,02:17:16,7,2
240,1:15:02,5,1:15:02,4.0,02:17:25,7,2
245,1:15:03,5,1:15:03,4.0,02:17:34,5,0
250,1:15:04,5,1:15:04,4.0,02:17:43,2,-3
255,1:15:05,5,1:15:05,4.0,02:17:51,6,1
260,1:15:06,5,1:15:06,4.0,02:18:00,4,-1
265,1:15:07,5,1:15:07,4.0,02:18:09,4,-1
270,1:15:08,5,1:15:08,4.0,02:18:18,5,0
275,1:15:09,5,1:15:09,4.0,02:18:26,4,-1
280,1:15:10,5,1:15:10,5.0,02:18:35,5,0
285,1:15:11,5,1:15:11,6.0,02:18:44,5,0
290,1:15:12,5,1:15:12,6.0,02:18:53,5,0
295,1:15:13,5,1:15:13,6.0,02:19:02,4,-1
300,1:15:14,5,1:15:14,6.0,02:19:11,5,0
305,1:15:15,5,1:15:15,6.0,02:19:19,4,-1
