Frame,Time,People_Count
0,1:14:16,4
5,1:14:17,4
10,1:14:18,6
15,1:14:18,4
20,1:14:19,5
25,1:14:20,5
30,1:14:21,5
35,1:14:22,4
40,1:14:23,4
45,1:14:24,4
50,1:14:25,5
55,1:14:26,5
60,1:14:27,5
65,1:14:28,4
70,1:14:29,5
75,1:14:30,4
80,1:14:31,4
85,1:14:32,4
90,1:14:33,4
95,1:14:34,4
100,1:14:35,4
105,1:14:36,4
110,1:14:37,5
115,1:14:38,4
120,1:14:39,4
125,1:14:40,4
130,1:14:41,5
135,1:14:42,6
140,1:14:43,5
145,1:14:44,5
150,1:14:45,4
155,1:14:45,4
160,1:14:47,4
165,1:14:48,4
170,1:14:48,4
175,1:14:49,4
180,1:14:50,4
185,1:14:51,4
190,1:14:52,4
195,1:14:53,4
200,1:14:54,4
205,1:14:55,4
210,1:14:56,4
215,1:14:57,4
220,1:14:58,5
225,1:14:59,4
230,1:15:00,4
235,1:15:01,4
240,1:15:02,4
245,1:15:03,4
250,1:15:04,4
255,1:15:05,4
260,1:15:06,4
265,1:15:07,4
270,1:15:08,4
275,1:15:09,4
280,1:15:10,5
285,1:15:11,6
290,1:15:12,6
295,1:15:13,6
300,1:15:14,6
305,1:15:15,6
310,1:15:15,6
315,1:15:16,6
320,1:15:17,6
325,1:15:18,6
330,1:15:19,5
335,1:15:20,5
340,1:15:21,4
345,1:15:22,4
350,1:15:23,5
355,1:15:24,5
360,1:15:25,6
365,1:15:26,6
370,1:15:27,6
375,1:15:28,5
380,1:15:29,6
385,1:15:30,6
390,1:15:31,6
395,1:15:32,6
400,1:15:33,6
405,1:15:34,6
410,1:15:35,6
415,1:15:36,6
420,1:15:37,6
425,1:15:38,7
430,1:15:39,7
435,1:15:40,6
440,1:15:41,6
445,1:15:42,6
450,1:15:43,6
455,1:15:44,7
460,1:15:44,6
465,1:15:45,6
470,1:15:46,7
475,1:15:47,6
480,1:15:48,6
485,1:15:49,6
490,1:15:50,6
495,1:15:51,6
500,1:15:52,5
505,1:15:53,5
510,1:15:54,6
515,1:15:55,5
520,1:15:56,6
525,1:15:57,6
530,1:15:58,6
535,1:15:59,6
540,1:16:00,6
545,1:16:01,5
550,1:16:02,5
555,1:16:03,6
560,1:16:04,6
565,1:16:05,5
570,1:16:06,5
575,1:16:07,5
580,1:16:08,5
585,1:16:09,5
590,1:16:10,6
595,1:16:10,6
600,1:16:11,6
605,1:16:13,6
610,1:16:13,6
615,1:16:14,6
620,1:16:15,6
625,1:16:16,6
630,1:16:17,6
635,1:16:18,6
640,1:16:19,6
645,1:16:20,6
650,1:16:21,6
655,1:16:22,6
660,1:16:23,6
665,1:16:24,6
670,1:16:25,6
675,1:16:26,6
680,1:16:27,6
685,1:16:28,6
690,1:16:29,6
695,1:16:30,6
700,1:16:31,6
705,1:16:32,5
710,1:16:33,6
715,1:16:34,5
720,1:16:35,6
725,1:16:36,5
730,1:16:37,5
735,1:16:38,5
740,1:16:39,5
745,1:16:40,5
750,1:16:40,5
755,1:16:41,4
760,1:16:42,4
765,1:16:43,5
770,1:16:44,5
775,1:16:45,5
780,1:16:46,5
785,1:16:47,5
790,1:16:48,5
795,1:16:49,5
800,1:16:50,5
805,1:16:51,5
810,1:16:52,5
815,1:16:53,5
820,1:16:54,5
825,1:16:55,5
830,1:16:56,5
835,1:16:57,5
840,1:16:58,5
845,1:16:59,5
850,1:17:00,5
855,1:17:01,5
860,1:17:02,5
865,1:17:03,5
870,1:17:04,5
875,1:17:05,5
880,1:17:06,5
885,1:17:07,5
890,1:17:08,5
895,1:17:09,5
900,1:17:10,5
905,1:17:10,5
910,1:17:11,5
915,1:17:12,5
920,1:17:13,5
925,1:17:14,5
930,1:17:15,7
935,1:17:16,6
940,1:17:17,6
945,1:17:18,6
950,1:17:19,6
955,1:17:20,6
960,1:17:21,6
965,1:17:22,6
970,1:17:23,6
975,1:17:24,6
980,1:17:25,6
985,1:17:26,6
990,1:17:27,6
995,1:17:28,6
1000,1:17:29,6
1005,1:17:30,6
1010,1:17:31,6
1015,1:17:32,6
1020,1:17:33,6
1025,1:17:34,6
1030,1:17:34,6
1035,1:17:35,6
1040,1:17:36,6
1045,1:17:37,6
1050,1:17:38,6
1055,1:17:39,6
1060,1:17:40,6
1065,1:17:41,6
1070,1:17:42,6
1075,1:17:43,6
1080,1:17:44,6
1085,1:17:45,6
1090,1:17:46,6
1095,1:17:47,6
1100,1:17:48,6
1105,1:17:49,6
1110,1:17:50,6
1115,1:17:51,6
1120,1:17:52,6
1125,1:17:53,6
1130,1:17:54,6
1135,1:17:55,6
1140,1:17:56,6
1145,1:17:57,6
1150,1:17:58,6
1155,1:17:59,6
1160,1:18:00,6
1165,1:18:01,6
1170,1:18:02,6
1175,1:18:03,6
1180,1:18:04,6
1185,1:18:05,6
1190,1:18:05,6
1195,1:18:06,7
1200,1:18:07,6
1205,1:18:08,6
1210,1:18:09,6
1215,1:18:10,6
1220,1:18:11,6
1225,1:18:12,6
1230,1:18:13,7
1235,1:18:14,7
1240,1:18:15,7
1245,1:18:16,6
1250,1:18:17,6
1255,1:18:18,6
1260,1:18:19,6
1265,1:18:20,6
1270,1:18:21,6
1275,1:18:22,6
1280,1:18:23,6
1285,1:18:24,5
1290,1:18:25,5
1295,1:18:26,4
1300,1:18:27,4
1305,1:18:28,4
1310,1:18:29,4
1315,1:18:30,4
1320,1:18:31,4
1325,1:18:32,4
1330,1:18:33,5
1335,1:18:34,5
1340,1:18:35,5
1345,1:18:36,5
1350,1:18:37,5
1355,1:18:37,6
1360,1:18:38,6
1365,1:18:39,5
1370,1:18:40,4
1375,1:18:41,5
1380,1:18:42,5
1385,1:18:43,5
1390,1:18:44,5
1395,1:18:45,5
1400,1:18:46,5
1405,1:18:47,5
1410,1:18:48,5
1415,1:18:49,5
1420,1:18:50,5
1425,1:18:51,5
1430,1:18:52,5
1435,1:18:53,5
1440,1:18:54,5
1445,1:18:55,5
1450,1:18:56,5
1455,1:18:57,5
1460,1:18:58,5
1465,1:18:59,4
1470,1:19:00,4
1475,1:19:01,4
1480,1:19:02,5
1485,1:19:03,5
1490,1:19:04,5
1495,1:19:05,5
1500,1:19:06,5
1505,1:19:07,4
1510,1:19:08,6
1515,1:19:09,6
1520,1:19:10,5
1525,1:19:10,6
1530,1:19:11,6
1535,1:19:12,6
1540,1:19:13,6
1545,1:19:14,5
1550,1:19:15,7
1555,1:19:16,7
1560,1:19:17,7
1565,1:19:18,6
1570,1:19:19,7
1575,1:19:20,7
1580,1:19:21,7
1585,1:19:22,7
1590,1:19:23,7
1595,1:19:24,6
1600,1:19:25,7
1605,1:19:26,7
1610,1:19:27,7
1615,1:19:28,6
1620,1:19:29,6
1625,1:19:30,6
1630,1:19:31,6
1635,1:19:32,6
1640,1:19:33,6
1645,1:19:34,6
1650,1:19:35,7
1655,1:19:36,7
1660,1:19:37,7
1665,1:19:38,7
1670,1:19:39,7
