Frame,Time,People_Count
0,02:10:21,0
5,02:10:30,0
10,02:10:39,0
15,02:10:48,0
20,02:10:57,0
25,02:11:06,0
30,02:11:15,1
35,02:11:23,4
40,02:11:32,4
45,02:11:41,6
50,02:11:50,4
55,02:11:59,4
60,02:12:08,8
65,02:12:17,5
70,02:12:25,4
75,02:12:34,6
80,02:12:43,5
85,02:12:52,7
90,02:13:01,7
95,02:13:10,1
100,02:13:19,7
105,02:13:27,5
110,02:13:36,5
115,02:13:45,5
120,02:13:54,5
125,02:14:03,7
130,02:14:12,4
135,02:14:21,7
140,02:14:29,5
145,02:14:38,7
150,02:14:47,5
155,02:14:56,5
160,02:15:05,5
165,02:15:13,5
170,02:15:22,5
175,02:15:31,5
180,02:15:40,5
185,02:15:48,5
190,02:15:57,4
195,02:16:06,6
200,02:16:15,5
205,02:16:24,7
210,02:16:32,5
215,02:16:41,7
220,02:16:50,5
225,02:16:59,7
230,02:17:07,5
235,02:17:16,7
240,02:17:25,7
245,02:17:34,5
250,02:17:43,2
255,02:17:51,6
260,02:18:00,4
265,02:18:09,4
270,02:18:18,5
275,02:18:26,4
280,02:18:35,5
285,02:18:44,5
290,02:18:53,5
295,02:19:02,4
300,02:19:11,5
305,02:19:19,4
310,02:19:28,5
315,02:19:37,8
320,02:19:46,4
325,02:19:54,6
330,02:20:03,6
335,02:20:12,9
340,02:20:21,2
345,02:20:29,8
350,02:20:37,4
355,02:20:44,8
360,02:20:52,5
365,02:21:00,8
370,02:21:07,10
375,02:21:15,6
380,02:21:22,6
385,02:21:30,10
390,02:21:37,8
395,02:21:45,5
400,02:21:52,8
405,02:22:00,2
410,02:22:07,8
415,02:22:15,4
420,02:22:23,6
425,02:22:30,6
430,02:22:38,6
435,02:22:45,6
440,02:22:53,8
445,02:23:00,6
450,02:23:08,6
455,02:23:16,8
460,02:23:23,5
465,02:23:31,6
470,02:23:38,6
475,02:23:46,5
480,02:23:54,6
485,02:24:01,6
490,02:24:08,6
495,02:24:16,4
500,02:24:24,6
505,02:24:31,5
510,02:24:39,5
515,02:24:46,4
520,02:24:54,8
525,02:25:02,5
530,02:25:09,8
535,02:25:17,7
540,02:25:24,5
545,02:25:32,6
550,02:25:39,6
555,02:25:47,6
560,02:25:54,6
565,02:26:02,6
570,02:26:09,6
575,02:26:17,6
580,02:26:24,6
585,02:26:32,6
590,02:26:39,6
595,02:26:47,8
600,02:26:54,6
605,02:27:02,6
610,02:27:09,6
615,02:27:17,6
620,02:27:24,8
625,02:27:32,6
630,02:27:39,7
635,02:27:47,7
640,02:27:55,6
645,02:28:02,6
650,02:28:10,6
655,02:28:17,6
660,02:28:25,7
665,02:28:32,8
670,02:28:40,6
675,02:28:47,6
680,02:28:55,6
685,02:29:02,5
690,02:29:10,6
695,02:29:18,6
700,02:29:25,8
705,02:29:33,7
710,02:29:40,7
715,02:29:48,7
720,02:29:55,7
725,02:30:03,6
730,02:30:10,6
735,02:30:18,6
740,02:30:25,6
745,02:30:33,6
750,02:30:40,6
755,02:30:48,6
760,02:30:55,6
765,02:31:03,6
770,02:31:10,6
775,02:31:18,6
780,02:31:26,6
785,02:31:33,5
790,02:31:41,6
795,02:31:48,5
800,02:31:56,6
805,02:32:03,6
810,02:32:11,6
815,02:32:19,6
820,02:32:26,6
825,02:32:34,6
830,02:32:41,6
835,02:32:49,6
840,02:32:56,6
845,02:33:04,6
850,02:33:11,6
855,02:33:19,6
860,02:33:27,6
865,02:33:34,6
870,02:33:42,6
875,02:33:49,6
880,02:33:57,6
885,02:34:04,5
890,02:34:12,5
895,02:34:20,6
900,02:34:27,6
905,02:34:35,6
910,02:34:42,6
915,02:34:50,7
920,02:34:57,7
925,02:35:05,5
930,02:35:13,7
935,02:35:20,6
940,02:35:28,7
945,02:35:35,7
950,02:35:43,9
955,02:35:51,7
960,02:35:58,7
965,02:36:06,5
970,02:36:13,7
975,02:36:21,7
980,02:36:28,7
985,02:36:36,9
990,02:36:43,7
995,02:36:51,6
1000,02:36:58,5
1005,02:37:06,7
1010,02:37:13,7
1015,02:37:21,7
1020,02:37:28,9
1025,02:37:36,7
1030,02:37:43,9
1035,02:37:51,7
1040,02:37:58,7
1045,02:38:06,7
1050,02:38:13,6
1055,02:38:21,4
1060,02:38:28,7
1065,02:38:36,6
1070,02:38:44,6
1075,02:38:51,9
1080,02:38:59,8
1085,02:39:06,4
1090,02:39:14,7
1095,02:39:21,7
1100,02:39:29,7
1105,02:39:36,8
1110,02:39:44,5
1115,02:39:51,8
1120,02:39:59,6
1125,02:40:06,6
1130,02:40:14,5
1135,02:40:21,7
1140,02:40:29,6
1145,02:40:37,6
1150,02:40:44,6
1155,02:40:52,6
1160,02:41:00,6
1165,02:41:07,6
1170,02:41:15,7
1175,02:41:22,5
1180,02:41:30,7
1185,02:41:37,7
1190,02:41:45,7
1195,02:41:52,7
1200,02:42:00,6
1205,02:42:07,7
1210,02:42:15,7
1215,02:42:22,7
1220,02:42:30,7
1225,02:42:37,7
1230,02:42:45,7
1235,02:42:52,7
1240,02:43:00,7
1245,02:43:07,7
1250,02:43:15,6
1255,02:43:22,6
1260,02:43:30,6
1265,02:43:37,6
1270,02:43:45,6
1275,02:43:52,6
1280,02:44:00,6
1285,02:44:07,7
1290,02:44:14,7
1295,02:44:22,7
1300,02:44:29,6
1305,02:44:37,6
1310,02:44:44,6
1315,02:44:52,6
1320,02:44:59,6
1325,02:45:07,7
1330,02:45:14,7
1335,02:45:22,7
1340,02:45:29,6
1345,02:45:37,5
1350,02:45:44,5
1355,02:45:52,6
1360,02:45:59,6
1365,02:46:07,7
1370,02:46:14,7
1375,02:46:22,7
1380,02:46:29,6
1385,02:46:37,7
1390,02:46:44,6
1395,02:46:52,7
1400,02:46:59,7
1405,02:47:07,5
1410,02:47:14,7
1415,02:47:22,7
1420,02:47:29,7
1425,02:47:36,7
1430,02:47:44,7
1435,02:47:51,7
1440,02:47:59,7
1445,02:48:06,7
1450,02:48:14,7
1455,02:48:21,6
1460,02:48:28,7
1465,02:48:36,6
1470,02:48:43,7
1475,02:48:51,7
1480,02:48:58,7
1485,02:49:06,7
1490,02:49:13,7
1495,02:49:21,7
1500,02:49:28,7
1505,02:49:36,7
1510,02:49:43,7
1515,02:49:51,7
1520,02:49:58,7
1525,02:50:06,7
1530,02:50:13,7
1535,02:50:21,7
1540,02:50:28,7
1545,02:50:36,7
1550,02:50:43,7
1555,02:50:51,6
1560,02:50:58,6
1565,02:51:06,6
1570,02:51:13,6
1575,02:51:21,6
1580,02:51:28,6
1585,02:51:35,6
1590,02:51:43,6
1595,02:51:50,7
1600,02:51:58,7
1605,02:52:05,6
1610,02:52:12,7
1615,02:52:20,6
1620,02:52:27,6
1625,02:52:35,7
1630,02:52:42,6
1635,02:52:50,6
1640,02:52:57,6
1645,02:53:05,7
1650,02:53:12,6
1655,02:53:20,6
1660,02:53:27,7
1665,02:53:34,6
1670,02:53:42,7
1675,02:53:49,7
1680,02:53:57,6
1685,02:54:04,6
1690,02:54:12,6
1695,02:54:20,7
1700,02:54:27,9
1705,02:54:34,7
1710,02:54:42,7
1715,02:54:50,7
1720,02:54:57,7
1725,02:55:05,5
1730,02:55:12,7
1735,02:55:19,8
1740,02:55:27,7
1745,02:55:34,6
1750,02:55:42,6
1755,02:55:50,8
1760,02:55:57,7
1765,02:56:04,7
1770,02:56:12,7
1775,02:56:19,7
1780,02:56:27,7
1785,02:56:35,6
1790,02:56:42,7
1795,02:56:49,7
1800,02:56:57,6
1805,02:57:04,7
1810,02:57:12,7
1815,02:57:19,6
1820,02:57:27,7
1825,02:57:34,7
1830,02:57:42,7
1835,02:57:49,6
1840,02:57:57,6
1845,02:58:04,6
1850,02:58:12,6
1855,02:58:19,5
1860,02:58:27,6
1865,02:58:34,6
1870,02:58:42,5
1875,02:58:49,6
1880,02:58:57,5
1885,02:59:04,6
1890,02:59:11,6
1895,02:59:19,6
1900,02:59:27,6
1905,02:59:34,6
1910,02:59:41,7
1915,02:59:49,7
1920,02:59:57,6
1925,03:00:04,6
1930,03:00:11,6
1935,03:00:19,6
1940,03:00:26,7
1945,03:00:34,8
1950,03:00:41,6
1955,03:00:49,7
1960,03:00:56,7
1965,03:01:04,6
1970,03:01:11,6
1975,03:01:19,6
1980,03:01:26,7
1985,03:01:34,6
1990,03:01:41,6
1995,03:01:49,6
2000,03:01:56,6
2005,03:02:04,7
2010,03:02:11,8
2015,03:02:19,8
2020,03:02:26,9
2025,03:02:34,7
2030,03:02:42,8
2035,03:02:49,8
2040,03:02:57,6
2045,03:03:04,6
2050,03:03:12,7
2055,03:03:19,6
2060,03:03:27,7
2065,03:03:34,7
2070,03:03:42,7
2075,03:03:49,7
2080,03:03:57,7
2085,03:04:04,6
2090,03:04:12,6
2095,03:04:19,6
2100,03:04:27,8
2105,03:04:34,6
2110,03:04:41,6
2115,03:04:49,8
2120,03:04:57,6
2125,03:05:04,6
2130,03:05:12,6
2135,03:05:19,5
2140,03:05:27,6
2145,03:05:35,6
2150,03:05:42,6
2155,03:05:50,5
2160,03:05:57,6
2165,03:06:05,8
2170,03:06:12,8
2175,03:06:20,6
2180,03:06:27,7
2185,03:06:35,6
2190,03:06:42,7
2195,03:06:50,7
2200,03:06:57,7
2205,03:07:05,7
2210,03:07:12,7
2215,03:07:20,8
2220,03:07:27,8
2225,03:07:35,6
2230,03:07:42,8
2235,03:07:50,7
2240,03:07:57,7
2245,03:08:05,7
2250,03:08:12,7
2255,03:08:20,7
2260,03:08:27,7
2265,03:08:35,6
2270,03:08:42,7
2275,03:08:50,7
2280,03:08:57,7
2285,03:09:05,6
2290,03:09:12,6
2295,03:09:20,6
2300,03:09:27,6
2305,03:09:35,6
2310,03:09:42,6
2315,03:09:50,6
2320,03:09:57,7
2325,03:10:05,5
2330,03:10:12,6
2335,03:10:20,7
2340,03:10:27,6
2345,03:10:35,7
2350,03:10:42,6
2355,03:10:50,6
2360,03:10:57,6
2365,03:11:04,6
2370,03:11:12,6
2375,03:11:19,7
2380,03:11:27,7
2385,03:11:34,9
2390,03:11:42,7
2395,03:11:49,6
