name_id,waiting_time,Position,appear_time,leave_time,dataset#,window
user2,0:49,2,0:00,0:49,1,a
user3,1:20,3,0:00,1:20,1,a
user4,1:42,4,0:00,1:42,1,a
user5,2:08,5,0:00,2:08,1,a
user6,3:07,6,0:00,3:07,1,a
user7,2:54,6,0:26,3:20,1,a
user8,2:38,6,0:52,3:30,1,a
user9,2:49,7,0:59,3:48,1,a
user10,3:01,7,1:32,4:33,1,a
user11,2:57,8,1:41,4:38,1,a
user12,2:53,8,2:10,5:03,1,a
user13,2:55,8,2:57,5:52,1,a
user2,2:01,2,0:00,2:01,4,d
user3,2:37,1,0:00,2:37,4,d
user3,0:31,1,0:00,1:20,1,a
user4,0:53,2,0:00,1:42,1,a
user5,1:19,3,0:00,2:08,1,a
user6,2:18,4,0:00,3:07,1,a
user7,2:31,4,0:26,3:20,1,a
user4,0:22,1,0:00,1:42,1,a
user5,0:48,2,0:00,2:08,1,a
user6,1:47,3,0:00,3:07,1,a
user2,0:43,2,0:00,0:43,6,d
user3,1:12,3,0:00,1:12,6,d
user4,2:02,4,0:00,2:02,6,d
user5,1:42,5,0:00,1:42,6,d
user6,1:58,5,0:25,2:23,6,d
user7,2:05,5,0:49,2:54,6,d
user8,2:03,5,1:16,3:19,6,d
user9,1:55,5,1:40,3:35,6,d
user10,2:19,6,1:48,4:07,6,d
user11,2:09,5,2:22,4:31,6,d
user12,2:05,5,2:59,5:04,6,d
user1,1:08,1,0:00,1:08,5,a
user2,1:21,2,0:00,1:21,5,a
user3,1:32,3,0:00,1:32,5,a
user4,1:52,4,0:00,1:52,5,a
user5,2:06,5,0:00,2:06,5,a
user6,2:35,6,0:00,2:35,5,a
user7,2:44,7,0:00,2:44,5,a
user8,2:52,8,0:00,2:52,5,a
user9,3:16,9,0:00,3:16,5,a
user10,3:29,10,0:00,3:29,5,a
user11,3:50,11,0:00,3:50,5,a
user12,4:08,12,0:00,4:08,5,a
user13,4:38,13,0:00,4:38,5,a
user14,5:01,14,0:00,5:01,5,a
user15,5:31,15,0:00,5:31,5,a
user16,5:35,16,0:00,5:35,5,a
user17,6:14,17,0:00,6:14,5,a
user18,6:45,18,0:00,6:45,5,a
user19,6:54,19,0:00,6:54,5,a
user2,0:43,2,0:00,0:43,7,d
user3,1:23,3,0:00,1:23,7,d
user4,1:51,4,0:00,1:51,7,d
user5,2:28,5,0:00,2:28,7,d
user6,2:42,6,0:20,3:02,7,d
user7,2:36,5,0:56,3:32,7,d
user8,2:23,5,1:31,3:54,7,d
user9,2:29,5,1:48,4:17,7,d
user10,3:21,6,2:05,5:26,7,d
user11,3:14,6,2:34,5:48,7,d
user12,3:16,6,3:12,6:28,7,d
user2,2:17,2,0:00,2:17,8,d
user3,1:12,3,0:00,1:12,8,d
user4,3:20,4,0:00,3:20,8,d
user5,3:44,5,0:00,3:44,8,d
user6,4:22,6,0:10,4:32,8,d
user7,3:54,6,0:58,4:52,8,d
user8,3:52,6,1:27,5:19,8,d
user9,2:43,5,3:25,6:08,8,d
user11,2:10,6,4:28,6:38,8,d
user12,2:59,6,4:35,7:34,8,d
user13,3:06,6,4:58,8:04,8,d
user14,3:04,5,5:20,8:24,8,d
user15,2:27,6,6:20,8:47,8,d
user16,2:30,6,6:42,9:12,8,d
